"Rebill Subscriptions","Subscripciones Rebill"
"Add the option to subscribe to this product","Agregue la opción para suscribirse a este producto"
"Time lapse of free trial expressed in days. Once it's finished, it will be billed for the first time","Lapso de tiempo de prueba gratuito expresado en días. Una vez finalizado, se facturará por primera vez"
"Frequency in which the subscription will be billed, expressed in months or years","Periodicidad en la que se facturará la suscripción, expresada en meses o años"
"Payment gateway through which the product will be charged","Pasarela de pago a través de la cual se cobrará el producto"
"Subscription Initial Cost","Costo inicial de suscripción"
"Rebill Payments","Pagos Rebill"
"Rebill Queue","Cola Rebill"
"Failed queued process will be tried again.","El proceso en cola fallido se intentará de nuevo."
"Queued process doesn't exists or it isn't failed.","El proceso en cola no existe o no ha fallado."
"The subscription was cancelled.","La suscripción fue cancelada.."
"There was an error cancelling the subscription. Error: %1","Hubo un error al cancelar la suscripción. Error: %1"
"Subscription cannot be cancelled.","La suscripción no se puede cancelar."
"To enter this section you need to be logged in","Para ingresar a esta sección es necesario iniciar sesión"
"Change cannot be made due to subscription status. Contact the store owner to get more information.","No se puede realizar el cambio debido al estado de la suscripción. Póngase en contacto con el propietario de la tienda para obtener más información."
"Change cannot be made right now. Try again in a few minutes.","El cambio no se puede hacer en este momento. Vuelve a intentarlo en unos minutos."
"The subscription status was changed.","Se cambió el estado de la suscripción."
"There was an error changing your subscription status. Contact the store owner to get more information.","Hubo un error al cambiar el estado de su suscripción. Póngase en contacto con el propietario de la tienda para obtener más información."
"Subscription cannot be paused.","La suscripción no se puede pausar."
"The subscription was paused.","La suscripción fue pausada.."
"Subscription cannot be reactivated.","No se puede reactivar la suscripción."
"The subscription was reactivated.","La suscripción fue reactivada."
"There was an error trying to update your subscription.","Hubo un error al intentar actualizar su suscripción."
"Unable to refund payment on Rebill.","No se puede reembolsar el pago en Rebill."
"%1 with a sign-up fee of %2","%1 con un costo inicial de %2"
"%1 with a maximum of %2 payments","%1 con un máximo de %2 pagos"
"%1 with a maximum of %2 payments with a sign-up fee of %3", "%1 con un maximo de %2 pagos con un costo inicial de %3"
"%1 for %2 %3 with a sign-up fee of %4","%1 por %2 %3 con un costo inicial de %4"
monthly, mensualmente
yearly, anualmente
"%1 for %2","%1 por %2"
"months' 'months' 'years","meses' 'meses' 'años"
"every %1 %2 for %3","cada %1 %2 por %3"
months,meses
year,año
years,años
"year' 'years","año' 'años"
"None selected","Nada seleccionado"
Sandbox,Sandbox
Production,Producción
"No product label","Sin etiqueta de producto"
"Custom Text","Texto personalizado"
"Rebill Logo","Logo Rebill"
"No subscription found","No se encontraron suscripciones"
"Can't find any order to pay with rebill.","No pudimos encontrar ningún pedido para pagar con Rebill."
"There was an error creating the payment, please try again.","Hubo un error al crear el pago, intente nuevamente."
"Unable to create prices on Rebill.","No se pueden crear precios en Rebill."
"One-time only","Solo Única vez"
"One-time and Subscription","Solo una vez y suscripción"
"Subscription Only","Solo suscripción"
"Invoice generation process","Proceso de generación de factura."
"The selected shipping method cannot be selected. Reason: %","No se puede seleccionar el método de envío seleccionado. Razón: %"
"Order #%1","Pedido #%1"
"Subscription: %1","Suscripciones: %1"
"Queue Id: %1","Id de cola: %1"
"Product %1 doen't exists anymore","El producto %1 no existe más"
"Product %1 is not salable","El producto %1 no es vendible"
"Could not add the product with SKU ""%1"" to the shopping cart: %2","No se pudo agregar el producto con SKU ""%1"" al carrito de compras: %2"
"Could not add the product with SKU ""%1"" to the shopping cart","No se pudo agregar el producto con SKU ""%1"" al carrito de compras"
"Order cant be created.","No se puede crear el pedido."
"Before trying to buy a subscription product, you have to be logged in first","Antes de intentar comprar un producto de suscripción, primero debe iniciar sesión"
Subscription,Suscripción
Cancel,Cancelar
"Are you sure you want to cancel a subscription?","Are you sure you want to cancel a subscription?"
Retry,Retry
status_detail,status_detail
"Card Holder Name","Nombre impreso en la tarjeta"
"Last 4 four digits","Últimos 4 digitos"
Frequency,Frecuencia
"Frequency Type","Tipo de frecuencia"
"Max Recurring Payments","Cantidad máxima de pagos recurrentes"
Price,Precio
"SignUp Cost","Costo de registro"
Actions,Acciones
Product:,Producto:
Status:,Estado:
Period:,Período:
"Next payment date:","Fecha de próximo pago:"
"Remaining payments:","Pagos restantes:"
"Current payment method:","Método de pago actual:"
"Card Holder","Nombre impreso en la tarjeta"
"Document Type","Tipo de documento"
"Document Number","Número de documento"
"The payment can't be processed, try again with another card.","No se puede procesar el pago, inténtalo de nuevo con otra tarjeta."
"Card Number","Número de tarjeta"
"Update your subscription","Actualiza tu suscripción"
"Enter a card number","Introduce un número de tarjeta"
"Card number is invalid","El número de tarjeta no es válido"
"Enter an expiry date","Introduce una fecha de vencimiento"
"Expiry month must be between 01 and 12","El mes de vencimiento debe estar entre el 01 y el 12"
"Expiry year cannot be in the past","El año de vencimiento no puede estar en el pasado"
"Expiry date cannot be in the past","La fecha de vencimiento no puede estar en el pasado"
"Expiry date is invalid","La fecha de vencimiento es inválida"
"Enter a CVC","Ingrese un CVC"
"CVC is invalid","CVC es inválido"
Quantity,Cantidad
Status,Estado
Total,Total
"Payment Method","Método de pago"
"Remaining Iterations", "Iteraciones restantes"
"Next Scheduled Payment","Próximo pago programado"
Update,Actualizar
Pause,Pausar
Reactivate,Reactivar
"You have no active subscriptions","No tienes suscripciones activas"
"Print Payment","Imprimir pago"
"Product Subscription with Rebill","Suscripción de producto con Rebill"
"One time purchase","Compra única"
"Subscribe to this product %1","Suscríbete a este producto %1"
"Subscribe to this product","Suscríbete a este producto"
"Place Order","Finalizar pedido"
Continue,Continuar
"Add Frequency","Añadir frecuencia"
Save,Guardar
"Edit Frequencies","Editar frecuencias"
Months,Meses
Years,Años
"If it is 0 the subscription will be recurrent","Si es 0 la suscripción será recurrente"
Delete,Borrar
"The frequency should be bigger than 0.","La frecuencia debe ser mayor que 0."
"The Max Recurring Payments should be bigger equal to 0 or bigger than 1.","Los pagos recurrentes máximos deben ser mayores, iguales a 0 o mayores a 1."
"The Max Recurring Payments should be a number integer.", "Los pagos recurrentes máximos deben ser un numero entero"
"There are duplicate rows.", "Hay filas duplicadas."
"Cancel Subscription","Cancelar suscripción"
"You are about to cancel a subscription. Are you sure?","Está a punto de cancelar una suscripción. ¿Está seguro?"
Ok,Ok
"Pause Subscription","Pausar suscripción"
"You are about to pause a subscription. Are you sure?","Está a punto de pausar una suscripción. ¿Está seguro?"
"Reactivate Subscription","Reactivar Suscripción"
"You are about to reactivate this subscription. Are you sure?","Está a punto de reactivar esta suscripción. ¿Está seguro?"
Pay,Pagar
Rebill,Rebill
Enabled,Habilidado
Title,Título
"Sort Order","Ordenamiento"
General,General
"Status for Approved Orders","Estado de los pedidos aprobados"
"Status for Denied Orders","Estado de pedidos denegados"
"Email for failed reorder","Correo electrónico para pedido fallido"
"Reorders happens when a new payment is placed from rebill or a subscription is about to be payed.","Los pedidos nuevos ocurren cuando se realiza un nuevo pago desde Rebill o cuando una suscripción está a punto de pagarse."
"Qty of days to retry a reorder in case of failure","Cantidad de días para volver a intentar un nuevo pedido en caso de falla"
"Allow mixed cart","Permitir carrito mixto"
"This option will allow the customer to pay subscription and not subscription products in the same order","Esta opción permitirá al cliente pagar productos de suscripción y no suscripción en el mismo pedido"
"Text for subscription products","Texto para productos de suscripción"
"This text will be shown in product page to let customer know that the product is subscription type.","Este texto se mostrará en la página del producto para que el cliente sepa que el producto es de tipo suscripción."
"Text for guest customer in subscription products","Texto para cliente invitado en productos de suscripción"
"This text will be shown in product page to let guest customer know that they can subscribe to the product only if they have an account.","Este texto se mostrará en la página del producto para que el cliente invitado sepa que puede suscribirse al producto solo si tiene una cuenta."
"Label for Subscription Products","Etiqueta para productos de suscripción"
"Label in form of a text or image to more easily identify subscription products","Etiqueta en forma de texto o imagen para identificar más fácilmente los productos de suscripción"
"Text for Label","Texto para etiqueta"
"Api Options","Opciones de Api"
"Api User Email","Email de usuario de Api"
"Api Password","Password de Api"
"Organization Alias","Alias de organización"
UUID,UUID
"Unique identifier provided by Rebill","Identificador único provisto por Rebill"
"Integration mode","Modo de integración"
"Default Gateway","Gateway por defecto"
"Enable debug logs","Habilitar logs de debug"
"Rebill Id","Id Rebill"
"Payment Id","Id de pago"
status,estado
Amount,Monto
Currency,Divisa
"Card Last Numbers","Últimos números de la tarjeta"
"Card Brand","Marca de tarjeta"
"Order Id","Id de pedido"
"Customer Firstname","Nombre del cliente"
"Customer Lastname","Apellido del cliente"
"Gateway Type","Tipo de gateway"
"Gateway Description","Descripción de Gateway"
Description,Descripción
"Created At","Creado en"
Id,Id
Type,Tipo
Data,Datos
"User Email","Correo electrónico del usuario"
"Last Charge Date","Fecha del último cargo"
"Next Charge Date","Próxima fecha de cargo"
Subscriptions,Suscripciones
"Subscription Update","Actualización de suscripción"
"Rebill Payment","Pago Rebill"
"Pay with rebill","Pagar con Rebill"
"New order cannot be created. Check the order products and try again.","No se pudo crear el pedido. Revise los productos e intente nuevamente"
"Checkout mixed cart conflict message","Mensaje de conflicto de carrito mixto en el Checkout"
"Message to be displayed if there is a mixed cart conflict at checkout","Mensaje a mostrar si hay conflicto de carrito mixto en el checkout"
